    LALTOH,       Fe1, 3,       Cl1, 2.230, 0.685
    LALTOH,       Fe1, 3,        O1, 1.868, 0.757
    LALTOH,       Fe1, 3,        O2, 1.880, 0.733
    KAQNOH,       Fe4, 3,       Br4, 2.319, 0.853
    KAQNOH,       Fe4, 3,       Br3, 2.324, 0.841
    KAQNOH,       Fe4, 3,       Br2, 2.328, 0.832
    KAQNOH,       Fe4, 3,       Br1, 2.350, 0.784
    ELISAU,      Fe1A, 3,       N2A, 2.133, 0.423
    ELISAU,      Fe1A, 3,       N1A, 2.136, 0.420
    ELISAU,      Fe1A, 3,       O1A, 1.996, 0.536
    ELISAU,      Fe1A, 3,       O2A, 1.890, 0.713
    ELISAU,      Fe1A, 3,        O1, 2.244, 0.274
    ELISAU,      Fe1A, 3,      Cl1A, 2.294, 0.576
    NIPGOI,       Fe1, 3,        N5, 2.101, 0.462
    NIPGOI,       Fe1, 3,        O1, 1.973, 0.570
    NIPGOI,       Fe1, 3,        O5, 1.790, 0.935
    NIPGOI,       Fe1, 3,        N3, 2.242, 0.315
    NIPGOI,       Fe1, 3,        N2, 2.125, 0.433
    NIPGOI,       Fe1, 3,        N6, 2.312, 0.261
  COTPUW01,       Fe3, 3,        O1, 1.749, 1.044
  COTPUW01,       Fe3, 3,       Cl1, 2.189, 0.765
  COTPUW01,       Fe3, 3,       Cl2, 2.202, 0.739
  COTPUW01,       Fe3, 3,       Cl3, 2.201, 0.741
    HOFDAJ,       Fe2, 3,        N8, 2.172, 0.381
    HOFDAJ,       Fe2, 3,        N9, 2.130, 0.427
    HOFDAJ,       Fe2, 3,       Cl4, 2.362, 0.479
    HOFDAJ,       Fe2, 3,       Cl5, 2.420, 0.410
    HOFDAJ,       Fe2, 3,       Cl6, 2.253, 0.644
    HOFDAJ,       Fe2, 3,        N7, 2.157, 0.397
    CUQBUL,      Fe3B, 3,       O6B, 1.934, 0.633
    CUQBUL,      Fe3B, 3,       O5B, 2.003, 0.526
    CUQBUL,      Fe3B, 3,      Cl3B, 2.250, 0.649
    CUQBUL,      Fe3B, 3,      Cl4B, 2.244, 0.660
    CUQBUL,      Fe3B, 3,       O7B, 1.998, 0.533
    HOFDAJ,       Fe1, 3,        N2, 2.127, 0.430
    HOFDAJ,       Fe1, 3,        N3, 2.167, 0.386
    HOFDAJ,       Fe1, 3,        N4, 2.142, 0.413
    HOFDAJ,       Fe1, 3,       Cl1, 2.422, 0.408
    HOFDAJ,       Fe1, 3,       Cl2, 2.344, 0.503
    HOFDAJ,       Fe1, 3,       Cl3, 2.251, 0.647
    LITTIT,       Fe1, 3,        N1, 2.103, 0.459
    LITTIT,       Fe1, 3,        O5, 1.787, 0.942
    LITTIT,       Fe1, 3,        N2, 2.092, 0.473
    LITTIT,       Fe1, 3,        O1, 1.925, 0.649
    LITTIT,       Fe1, 3,        O2, 1.903, 0.689
    LITTIT,       Fe2, 3,        N4, 2.111, 0.449
    LITTIT,       Fe2, 3,        O5, 1.783, 0.953
    LITTIT,       Fe2, 3,        O4, 1.917, 0.663
    LITTIT,       Fe2, 3,        O3, 1.920, 0.658
    LITTIT,       Fe2, 3,        N3, 2.084, 0.483
    EFOWAX,       Fe2, 3,        O2, 2.011, 0.514
    EFOWAX,       Fe2, 3,        N6, 2.225, 0.330
    EFOWAX,       Fe2, 3,        O4, 2.030, 0.489
    EFOWAX,       Fe2, 3,        N4, 2.288, 0.278
    EFOWAX,       Fe2, 3,        N5, 2.210, 0.344
    EFOWAX,       Fe2, 3,        O1, 1.805, 0.898
    NOPZEX,       Fe2, 3,       O10, 2.027, 0.493
    NOPZEX,       Fe2, 3,       O6A, 1.965, 0.582
    NOPZEX,       Fe2, 3,        O9, 1.993, 0.540
    NOPZEX,       Fe2, 3,        O8, 1.997, 0.534
    NOPZEX,       Fe2, 3,        O7, 2.000, 0.530
    NOPZEX,       Fe2, 3,        O6, 1.979, 0.561
    REJMOK,       Fe1, 3,        N1, 2.180, 0.373
    REJMOK,       Fe1, 3,        O4, 2.106, 0.398
    REJMOK,       Fe1, 3,        O3, 1.869, 0.755
    REJMOK,       Fe1, 3,        O2, 1.855, 0.784
    REJMOK,       Fe1, 3,        O1, 1.864, 0.765
    NOPZEX,       Fe1, 3,       O1A, 1.965, 0.582
    NOPZEX,       Fe1, 3,        O5, 2.007, 0.520
    NOPZEX,       Fe1, 3,        O4, 2.013, 0.512
    NOPZEX,       Fe1, 3,        O3, 2.010, 0.516
    NOPZEX,       Fe1, 3,        O2, 2.003, 0.526
    NOPZEX,       Fe1, 3,        O1, 1.989, 0.546
    ZOVWUC,       Fe1, 3,        N4, 2.192, 0.361
    ZOVWUC,       Fe1, 3,       O1A, 2.045, 0.469
    ZOVWUC,       Fe1, 3,        N3, 2.184, 0.369
    ZOVWUC,       Fe1, 3,        O3, 1.924, 0.651
    ZOVWUC,       Fe1, 3,        O2, 1.948, 0.610
    ZOVWUC,       Fe1, 3,        O1, 1.948, 0.610
    ZATFAB,       Fe2, 3,        N8, 2.290, 0.277
    ZATFAB,       Fe2, 3,        N6, 2.202, 0.351
    ZATFAB,       Fe2, 3,        O3, 1.968, 0.578
    ZATFAB,       Fe2, 3,        N5, 2.172, 0.381
    ZATFAB,       Fe2, 3,        O1, 1.798, 0.915
    ZATFAB,       Fe2, 3,        N7, 2.161, 0.393
    ZATFAB,       Fe1, 3,        N1, 2.157, 0.397
    ZATFAB,       Fe1, 3,        N2, 2.194, 0.359
    ZATFAB,       Fe1, 3,        N3, 2.141, 0.414
    ZATFAB,       Fe1, 3,        N4, 2.317, 0.257
    ZATFAB,       Fe1, 3,        O2, 1.959, 0.592
    ZATFAB,       Fe1, 3,        O1, 1.808, 0.890
  SEPLEE02,       Fe1, 3,       Cl4, 2.174, 0.797
  SEPLEE02,       Fe1, 3,       Cl1, 2.187, 0.769
  SEPLEE02,       Fe1, 3,       Cl2, 2.209, 0.725
  SEPLEE02,       Fe1, 3,       Cl3, 2.178, 0.788
  SEPLEE02,       Fe2, 3,       Cl5, 2.188, 0.767
  SEPLEE02,       Fe2, 3,       Cl6, 2.210, 0.723
  SEPLEE02,       Fe2, 3,       Cl7, 2.172, 0.801
  SEPLEE02,       Fe2, 3,       Cl8, 2.178, 0.788
    WAPBAQ,       Fe1, 3,        N3, 2.210, 0.344
    WAPBAQ,       Fe1, 3,        N1, 2.238, 0.319
    WAPBAQ,       Fe1, 3,        N2, 2.212, 0.342
    WAPBAQ,       Fe1, 3,        O4, 2.060, 0.451
    WAPBAQ,       Fe1, 3,        N4, 2.100, 0.463
    WAPBAQ,       Fe1, 3,        N5, 2.084, 0.483
    WAPBAQ,       Fe1, 3,        O1, 2.066, 0.443
  DOKREA01,      Fe1E, 3,       S3E, 2.232, 0.767
  DOKREA01,      Fe1E, 3,       S4E, 2.236, 0.759
  DOKREA01,      Fe1E, 3,        S1, 2.516, 0.356
  DOKREA01,      Fe1E, 3,       S1E, 2.269, 0.694
  DOKREA01,      Fe1E, 3,       S2E, 2.246, 0.739
    NUKKUA,       Fe1, 3,        N1, 1.962, 0.672
    NUKKUA,       Fe1, 3,        N2, 1.959, 0.678
    NUKKUA,       Fe1, 3,        N3, 1.982, 0.637
    NUKKUA,       Fe1, 3,        N4, 1.975, 0.649
    NUKKUA,       Fe1, 3,        N5, 2.066, 0.507
    FONZAJ,       Fe1, 3,        N1, 2.069, 0.503
    FONZAJ,       Fe1, 3,        N2, 2.056, 0.521
    FONZAJ,       Fe1, 3,        N3, 2.035, 0.552
    FONZAJ,       Fe1, 3,        N4, 2.038, 0.547
    FONZAJ,       Fe1, 3,        O1, 1.945, 0.615
  XIFVOY01,       Fe1, 3,       O15, 1.998, 0.533
  XIFVOY01,       Fe1, 3,        O8, 2.018, 0.505
  XIFVOY01,       Fe1, 3,        O6, 2.004, 0.524
  XIFVOY01,       Fe1, 3,        O3, 2.070, 0.439
  XIFVOY01,       Fe1, 3,        O2, 1.895, 0.704
  XIFVOY01,       Fe1, 3,        O1, 2.066, 0.443
  XIFVOY01,       Fe2, 3,       O12, 2.014, 0.510
  XIFVOY01,       Fe2, 3,       O10, 2.005, 0.523
  XIFVOY01,       Fe2, 3,        O9, 2.009, 0.517
  XIFVOY01,       Fe2, 3,        O7, 2.010, 0.516
  XIFVOY01,       Fe2, 3,        O4, 2.072, 0.436
  XIFVOY01,       Fe2, 3,        O2, 1.912, 0.672
  XIFVOY01,       Fe3, 3,       O16, 2.011, 0.514
  XIFVOY01,       Fe3, 3,       O14, 2.037, 0.479
  XIFVOY01,       Fe3, 3,       O13, 2.011, 0.514
  XIFVOY01,       Fe3, 3,       O11, 2.025, 0.495
  XIFVOY01,       Fe3, 3,        O5, 2.048, 0.465
  XIFVOY01,       Fe3, 3,        O2, 1.911, 0.674
    GIDRUH,       Fe1, 3,       Cl4, 2.189, 0.765
    GIDRUH,       Fe1, 3,       Cl1, 2.192, 0.759
    GIDRUH,       Fe1, 3,       Cl2, 2.182, 0.780
    GIDRUH,       Fe1, 3,       Cl3, 2.176, 0.793
    OFATOF,       Fe1, 3,       O1D, 1.978, 0.562
    OFATOF,       Fe1, 3,        N1, 2.170, 0.383
    OFATOF,       Fe1, 3,        N2, 2.156, 0.398
    OFATOF,       Fe1, 3,        N3, 2.167, 0.386
    OFATOF,       Fe1, 3,        N4, 2.115, 0.444
    OFATOF,       Fe1, 3,        O1, 1.902, 0.691
    FOPSUZ,      Fe1A, 3,       N4A, 1.682, 1.433
    FOPSUZ,      Fe1A, 3,       N3A, 1.687, 1.413
    FOPSUZ,      Fe1A, 3,       S1A, 2.303, 0.633
    FOPSUZ,      Fe1A, 3,       N1A, 2.022, 0.572
    XEVBEH,       Fe1, 3,        O7, 2.033, 0.485
    XEVBEH,       Fe1, 3,        N1, 2.053, 0.526
    XEVBEH,       Fe1, 3,        O5, 2.020, 0.502
    XEVBEH,       Fe1, 3,        O3, 2.013, 0.512
    XEVBEH,       Fe1, 3,        N2, 2.058, 0.519
    XEVBEH,       Fe1, 3,        O1, 2.012, 0.513
    CEXXIM,       Fe2, 3,       S4A, 2.349, 0.559
    CEXXIM,       Fe2, 3,       S4B, 2.349, 0.559
    CEXXIM,       Fe2, 3,        S3, 2.360, 0.543
    CEXXIM,       Fe2, 3,        S4, 2.349, 0.559
    CEXXIM,       Fe2, 3,       S3A, 2.360, 0.543
    CEXXIM,       Fe2, 3,       S3B, 2.360, 0.543
    RADXAX,       Fe6, 3,       Cl4, 2.272, 0.611
    RADXAX,       Fe6, 3,       O10, 1.939, 0.625
    RADXAX,       Fe6, 3,       O11, 1.903, 0.689
    RADXAX,       Fe6, 3,        O9, 2.125, 0.378
    RADXAX,       Fe6, 3,      O12A, 1.879, 0.735
    JESSEG,       Fe1, 3,        N1, 2.178, 0.375
    JESSEG,       Fe1, 3,        N2, 2.158, 0.396
    JESSEG,       Fe1, 3,        N3, 2.171, 0.382
    JESSEG,       Fe1, 3,        N4, 2.164, 0.389
    JESSEG,       Fe1, 3,       Cl1, 2.285, 0.590
